count,Obfuscation class,Number of rides,Incomplete Obf Rides,Incomplete Real Rides,Obfuscated location avg time to start ride,Obfuscated location avg num of trials,Real location avg time to start ride,Real location avg num of trials,avg rhs util,avg diff trials,StD RHS util,Avg Obf-Real ETA,Privacy level,ST Deviation real-obf distance,Avg Euclidean QL,Std Euclidean QL,Avg Exp Euclidean QL,Std Exp Euclidean QL,Avg Exp Tailored QL,Std Exp Tailored QL
0,1400.0,233,113,61,2828.779399141629,40.57510729613734,1572.0566523605155,46.63948497854077,1256.7227467811133,-6.064377682403432,1889.843304480868,608.8901287553648,1.4,287.80352611642513,4415.114610523872,2675.7024904337,7.307704755436908e-05,1.673412737636741e-05,2.010585214592416e-05,3.6367495460271585e-05
1,1400.0,232,113,51,3147.3051724137927,49.98275862068966,1585.963793103448,40.258620689655174,1561.3413793103446,9.724137931034484,3103.0704061647293,675.0581896551724,1.4,308.93698975652967,4994.418958014041,2751.90497932837,7.301308752567941e-05,1.5129967057180347e-05,2.1857874705163814e-05,7.457558740686379e-05
2,1400.0,225,99,46,2676.4124444444456,43.28888888888889,1287.822666666666,36.897777777777776,1388.5897777777795,6.391111111111115,1622.1127825243348,654.400888888889,1.4,276.7151984728641,4639.8329320886405,2471.337644763321,7.57789625692986e-05,1.4285417728955708e-05,2.1171375759917926e-05,2.681385569732273e-05
3,1400.0,245,105,42,2716.890612244896,47.053061224489795,1331.2991836734698,31.718367346938777,1385.5914285714264,15.334693877551018,2089.103470764238,673.2493877551019,1.4,300.13569932587035,4930.4318442447875,2643.0963434314435,7.463244876550661e-05,1.4613216960340958e-05,2.1014335193361422e-05,3.770001036188963e-05
4,1400.0,244,118,38,2793.523770491805,58.34016393442623,1922.7766393442616,30.40573770491803,870.7471311475433,27.934426229508198,3227.57998036035,660.0430327868852,1.4,287.35992994275284,4906.667924066303,2639.1068672842543,7.459177793266366e-05,1.441345877006923e-05,1.2087438184860891e-05,6.135260097024638e-05
