Driver ID,real_acc_rate,real_earnings,Real accepted rides,obf_acc_rate,obf_earnings,Obf accepted rides,Drivers RHS Util
0,1.0,26.96875,1,,0,0,26.96875
1,,0,0,1.0,81.97916666666666,3,-81.97916666666666
2,1.0,15.91875,1,,0,0,15.91875
3,1.0,34.59791666666666,2,1.0,15.0,1,19.597916666666663
4,1.0,24.0,1,,0,0,24.0
5,1.0,15,1,1.0,15.0,1,0.0
6,1.0,21.93125,1,1.0,20.62708333333333,1,1.3041666666666671
7,1.0,71.81041666666665,3,1.0,29.739583333333332,1,42.070833333333326
8,1.0,124.29583333333333,2,1.0,100.69166666666666,1,23.60416666666667
9,1.0,27.764583333333334,1,1.0,27.670833333333334,1,0.09375
10,1.0,55.72708333333333,2,1.0,19.381249999999998,1,36.34583333333333
11,1.0,47.8875,2,1.0,63.51041666666666,2,-15.622916666666654
13,,0,0,1.0,48.74583333333333,2,-48.74583333333333
14,1.0,28.21875,1,1.0,57.4,2,-29.18125
15,1.0,56.49166666666667,2,1.0,59.199999999999996,3,-2.7083333333333286
17,1.0,35.58749999999999,2,1.0,16.372916666666665,1,19.214583333333326
18,1.0,37.67708333333333,2,1.0,24.15833333333333,1,13.518749999999997
19,,0,0,1.0,26.160416666666666,1,-26.160416666666666
20,1.0,15.0,1,,0,0,15.0
21,,0,0,1.0,26.15625,1,-26.15625
22,1.0,87.80416666666666,3,1.0,19.43958333333333,1,68.36458333333333
23,1.0,25.891666666666666,1,1.0,22.327083333333334,1,3.5645833333333314
24,1.0,18.53333333333333,1,1.0,29.96666666666667,1,-11.433333333333337
25,1.0,37.09583333333333,2,1.0,21.40625,1,15.689583333333331
26,1.0,74.21666666666667,3,1.0,68.21875,3,5.997916666666669
27,1.0,66.16666666666666,3,,0,0,66.16666666666666
28,1.0,59.62291666666666,2,1.0,17.558333333333334,1,42.06458333333333
29,1.0,19.96458333333333,1,1.0,28.008333333333333,1,-8.043750000000003
33,1.0,28.335416666666664,1,,0,0,28.335416666666664
34,1.0,43.925,2,1.0,62.71041666666667,3,-18.78541666666667
35,,0,0,1.0,15.0,1,-15.0
37,,0,0,1.0,18.3875,1,-18.3875
39,1.0,85.425,3,,0,0,85.425
40,1.0,23.077083333333334,1,1.0,44.233333333333334,2,-21.15625
43,1.0,19.84375,1,1.0,22.114583333333332,1,-2.270833333333332
44,1.0,51.775,3,1.0,41.881249999999994,2,9.893750000000004
45,1.0,30.0,2,1.0,44.724999999999994,2,-14.724999999999994
