count,Obfuscation class,Number of rides,Incomplete Obf Rides,Incomplete Real Rides,Obfuscated location avg time to start ride,Obfuscated location avg num of trials,Real location avg time to start ride,Real location avg num of trials,avg rhs util,avg diff trials,StD RHS util,Avg Obf-Real ETA,Privacy level,ST Deviation real-obf distance,Avg Euclidean QL,Std Euclidean QL,Avg Exp Euclidean QL,Std Exp Euclidean QL,Avg Exp Tailored QL,Std Exp Tailored QL
0,500.0,51,6,3,900.2509803921566,8.07843137254902,619.8411764705884,7.627450980392157,280.40980392156825,0.45098039215686203,632.9269778699971,415.9078431372549,1.4,238.51798866936088,2581.777060081551,1749.389106700261,0.00018414745931541837,6.604775562633831e-05,1.662657569420072e-05,6.568160936244312e-05
1,500.0,52,4,1,751.5307692307692,7.384615384615385,500.3230769230769,3.1538461538461537,251.20769230769235,4.230769230769232,492.3351054867758,417.15769230769223,1.4,203.48567833383814,2436.505176111854,1346.1975762050943,0.00018635542930655547,5.456051071609094e-05,1.3512753399915778e-05,2.8298055304315068e-05
2,500.0,52,11,3,1132.2576923076922,19.942307692307693,697.8442307692308,8.057692307692308,434.41346153846143,11.884615384615385,899.1962041026602,373.3250000000001,1.4,174.63262083475522,2152.2245515226573,1301.8538795078614,0.0001948247745268247,5.3185186084170716e-05,4.4826897008161225e-05,0.0001757565640763808
3,500.0,54,8,3,953.2444444444446,11.5,676.8407407407409,7.925925925925926,276.40370370370374,3.5740740740740744,750.2309841748154,463.57777777777767,1.4,250.5415664978765,2708.2962024040658,1953.2281372638342,0.00017991911492535098,7.163295343441297e-05,2.0345825075506444e-05,9.863078756718922e-05
4,500.0,49,4,1,951.6367346938777,8.612244897959183,517.983673469388,3.4285714285714284,433.65306122448965,5.183673469387754,1000.8152232365661,375.2979591836735,1.4,194.69227366386806,2265.9263993481704,1556.4992577451549,0.00019874810068139638,6.08701167403032e-05,5.1349939485131366e-05,0.0001555685360603907
