Rider ID,obfuscated_trials,obfuscated_extras,real_trials,obf_ride_complete,real_ride_complete,ride_request_time,obf_time_to_accept,obf_loc time to start ride,real_time_to_accept,real_loc time to start ride,generic_util,RHS_util,real_loc num drivers,real_loc avg_driver_dist,real_acc_rate,real_loc surge,obf_loc num drivers,obf_loc avg_driver_dist,obf_acc_rate,obf_loc surge,obf-real ETA,Privacy Level,Avg min real ETA,Avg min obf ETA,Real accept eta_tolerance,Obf accept eta_tolerance,Real accept_eta,Obf accept_eta,Euclidean QL,Expected Gen QL,Expected Tai QL
0,186,0,1,2,1,30,,4021.1,31,430.2,1200.0,3590.9,25.0,236.02,0.36,1.0,0.04838709677419355,395.98888888888894,0.03439153439153439,0.3010752688172043,466.5,1.4,120.2,16.484946236559143,400,400,120.2,341.1,3588.5811905115875,0.0001031490314149124,0.00010321568253413408
1,1,0,182,2,2,40,,4315.6,,4315.6,1200.0,0.0,0.005494505494505495,715.6,0.4,-0.005494505494505495,1.0,715.6,0.0,-1.0,315.4,1.4,3.931868131868132,715.6,750,750,715.6,715.6,2028.1583208326724,9.029468183362264e-05,0.0
2,4,13,1,1,1,27,54,1991.2,29,488.1,1200.0,1503.1,16.0,295.08125,0.375,1.0,6.0,646.6583333333336,0.003472222222222222,2.525,831.5,1.4,168.1,541.2,400,650,168.1,541.2,4678.069701226914,9.906913843778317e-05,3.183168090607482e-05
3,1,0,1,1,1,91,94,364.8,92,364.8,1200.0,0.0,21.0,286.05714285714294,0.6190476190476191,1.0,27.0,316.62222222222226,0.20562610229276895,1.0,121.4,1.4,54.8,54.8,400,400,54.8,54.8,717.1016471647667,4.6109755443189777e-05,0.0
4,195,0,1,2,1,11,,4150.4,12,411.7,1200.0,3738.7,19.0,227.83157894736843,0.15789473684210525,1.0,0.005128205128205128,280.4,0.0,-0.005128205128205128,981.7,1.4,101.7,1.4379487179487178,400,400,101.7,280.4,6889.735192085791,7.847878723194078e-05,4.258634528669465e-05
5,20,6,1,1,1,16,86,7524.7,18,691.5,1200.0,6833.2,1.0,371.5,1.0,2.0,1.0,844.7000000000004,0.0,-1.0,988.5,1.4,371.5,844.7000000000004,400,900,371.5,844.7,6107.44550123611,8.6630615470128e-05,9.692502724922696e-05
6,1,0,1,1,1,20,24,442.8,21,404.5,1200.0,38.30000000000001,19.0,241.95263157894735,0.2456140350877193,1.0,5.0,335.54,0.0,1.0,373.1,1.4,94.5,122.8,400,450,94.5,122.8,2587.889669567332,9.84794709087641e-05,1.457466977885601e-06
6,1,0,181,2,2,42,,4188.1,,4153.2,1200.0,34.900000000000546,0.03314917127071823,629.3333333333334,0.6666666666666666,-0.0055248618784530384,1.0,608.1,0.0,-1.0,712.7,1.4,3.166850828729282,608.1,600,650,573.2,608.1,5097.232370615344,9.597614066855735e-05,6.571345125724257e-07
7,1,0,166,2,2,71,,4109.8,,4109.8,1200.0,0.0,0.006024096385542169,819.8,0.4,-0.006024096385542169,1.0,819.8,0.0,-1.0,249.2,1.4,4.93855421686747,819.8,850,850,819.8,819.8,1013.8949329161628,5.9987882870694555e-05,0.0
8,1,0,154,2,2,96,,3437.2,,3437.2,1200.0,0.0,0.025974025974025976,411.45,0.85,-0.006493506493506494,1.0,397.2,0.0,-1.0,263.4,1.4,2.5792207792207793,397.2,400,400,397.2,397.2,2025.8966350655,9.025120613288386e-05,0.0
9,1,0,192,2,2,19,,4525.9,,4525.9,1200.0,0.0,0.005208333333333333,715.9,0.4,-0.005208333333333333,1.0,715.9,0.0,-1.0,251,1.4,3.728645833333333,715.9,750,750,715.9,715.9,1133.4830838419512,6.485194025952937e-05,0.0
10,175,0,1,2,1,51,,4571.5,52,520.4,1200.0,4051.1,1.0,210.4,1.0,4.0,0.005714285714285714,1101.5,0.0,-0.005714285714285714,1080.9,1.4,210.4,6.2942857142857145,400,1150,210.4,1101.5,10253.534560584527,4.5478087281089325e-05,1.7968075135050615e-05
11,1,0,1,1,1,14,18,479.7,15,418.8,1200.0,60.89999999999998,14.0,280.85,0.21428571428571427,1.0,4.0,153.14999999999998,0.0,1.0,245.6,1.4,79.9,79.9,400,500,108.8,159.7,1601.9444630699393,8.037283156689954e-05,3.0554776119042534e-06
12,1,0,155,2,2,93,,3406.7,,3500.4,1200.0,-93.70000000000027,0.0064516129032258064,430.4,1.0,-0.0064516129032258064,3.0,389.76666666666665,0.0,-1.0,187.3,1.4,2.776774193548387,336.7,700,400,430.4,336.7,717.0693580037502,4.6108096690441853e-05,-6.024980166384156e-06
13,1,0,185,2,2,33,,4397.6,,4384.5,1200.0,13.100000000000364,0.02702702702702703,385.21999999999997,1.0,0.10270270270270271,5.0,710.7,0.11371794871794871,-1.0,248.3,1.4,10.411351351351351,663.7,750,750,714.5,727.6,507.0856359053327,3.458340600777004e-05,8.934242791021951e-07
14,4,6,1,1,1,43,58,1755.5,44,430.8,1200.0,1324.7,11.0,283.1272727272727,0.45454545454545453,1.0,3.0,485.13333333333327,0.052876984126984126,-1.0,523.8,1.4,120.8,425.5,400,450,120.8,425.5,3656.4445349569964,0.00010311869780210294,3.735906224543683e-05
15,1,0,1,1,1,18,21,646.7,19,435.1,1200.0,211.60000000000002,15.0,276.52666666666664,0.26666666666666666,1.0,8.0,474.63750000000005,0.0,1.0,487.1,1.4,125.1,336.7,400,400,125.1,336.7,3587.305560126902,0.0001031492527760126,6.084338655174987e-06
15,163,26,1,2,1,36,,4474.1,37,429.9,1200.0,4044.2000000000003,25.0,296.55600000000004,0.44,1.0,0.3006134969325153,1002.8183673469385,0.01231844386106091,-0.10429447852760736,998.3,1.4,119.9,132.4,400,900,119.9,1114.1,9644.246927955724,5.074484341258349e-05,2.1279245260124293e-05
16,184,0,1,2,1,33,,4202.4,34,676.2,1200.0,3526.2,5.0,394.36,0.2,2.5,0.005434782608695652,552.4,0.0,-0.005434782608695652,860.6,1.4,366.2,3.002173913043478,450,600,366.2,552.4,6491.187252955659,8.268113189231321e-05,4.4914773818290644e-05
17,1,0,1,1,1,6,9,475.3,7,408.2,1200.0,67.10000000000002,23.0,263.3478260869565,0.043478260869565216,1.0,20.0,392.425,0.0,1.0,466.5,1.4,98.2,165.3,400,400,98.2,165.3,2030.1839451619262,9.033354220883808e-05,2.985631275755944e-06
17,164,0,1,2,1,73,,4371.4,74,371.1,1200.0,4000.2999999999997,36.0,271.72222222222223,0.6111111111111112,1.0,0.006097560975609756,1121.4,0.0,-0.006097560975609756,905.3,1.4,61.1,6.8378048780487815,400,1150,61.1,1121.4,10264.459423390123,4.538729665484834e-05,1.7688491455736466e-05
19,1,0,1,1,1,66,69,703.9,67,470.8,1200.0,233.09999999999997,40.0,349.9475,0.575,1.0,17.0,582.2882352941176,0.1053921568627451,1.0,672.3,1.4,160.8,393.9,400,400,160.8,393.9,3657.8186489792893,0.00010311771227901311,6.571331451586694e-06
19,161,0,1,2,1,80,,3279.5,81,409.5,1200.0,2870.0,18.0,202.0888888888889,0.6111111111111112,1.0,23.77639751552795,240.7508620689655,0.21114809180413102,0.9937888198757764,81.4,1.4,99.5,98.88198757763975,400,400,99.5,99.5,506.4747619979038,3.4547661200294684e-05,0.00019576846683084303
20,1,0,1,1,1,47,50,578.4,48,392.4,1200.0,186.0,19.0,250.0315789473685,0.3157894736842105,1.0,26.0,512.4153846153846,0.11767399267399269,1.0,514.8,1.4,82.4,268.4,400,400,82.4,268.4,3658.7345316332016,0.00010311704732463214,5.242187055812445e-06
20,160,0,1,2,1,82,,3986.1,83,429.9,1200.0,3556.2,37.0,292.4081081081082,0.6216216216216216,1.0,14.975,694.4713272120154,0.07859440341702417,0.99375,794.4,1.4,119.9,531.3387499999985,400,850,119.9,826.1,4678.878105721194,9.906380083139817e-05,7.529383765861468e-05
21,1,0,196,2,2,12,,4744,,4744,1200.0,0,0.00510204081632653,864.0,0.4,-0.00510204081632653,1.0,864.0,0.0,-1.0,305.1,1.4,4.408163265306122,864.0,900,900,864,864,1013.9870519931151,5.9991783584204625e-05,0.0
