Driver ID,real_acc_rate,real_earnings,Real accepted rides,obf_acc_rate,obf_earnings,Obf accepted rides,Drivers RHS Util
0,1.0,43.54583333333333,2,,0,0,43.54583333333333
1,1.0,28.08958333333333,1,1.0,31.879166666666666,1,-3.7895833333333364
2,,0,0,1.0,28.412499999999998,1,-28.412499999999998
7,,0,0,1.0,29.039583333333333,1,-29.039583333333333
8,,0,0,1.0,48.8,2,-48.8
9,1.0,44.75416666666667,2,1.0,19.329166666666666,1,25.425000000000004
10,1.0,97.21875,4,1.0,49.77083333333333,2,47.44791666666667
11,1.0,29.920833333333334,1,1.0,61.22291666666666,2,-31.30208333333333
13,,28.68333333333333,1,1.0,42.75833333333333,2,-14.075000000000003
14,,0,0,1.0,26.956249999999997,1,-26.956249999999997
15,1.0,56.833333333333336,2,,0,0,56.833333333333336
17,,0,0,1.0,32.53958333333333,1,-32.53958333333333
18,1.0,56.15,2,1.0,15.0,1,41.15
19,,18.60625,1,,0,0,18.60625
20,1.0,32.71666666666667,1,1.0,154.47083333333333,4,-121.75416666666666
22,1.0,19.68958333333333,1,1.0,75.31666666666666,2,-55.62708333333333
25,1.0,42.672916666666666,2,1.0,18.497916666666665,1,24.175
26,1.0,40.47083333333333,2,1.0,23.295833333333334,1,17.174999999999997
27,1.0,51.71666666666666,2,1.0,52.079166666666666,2,-0.36250000000000426
28,1.0,42.24791666666667,2,,0,0,42.24791666666667
29,1.0,62.25416666666666,3,1.0,15.0,1,47.25416666666666
30,1.0,66.58541666666667,3,1.0,18.52708333333333,1,48.058333333333344
31,1.0,101.27708333333334,4,1.0,15.0,1,86.27708333333334
32,1.0,61.631249999999994,2,1.0,55.90208333333333,2,5.729166666666664
33,1.0,15.0,1,,0,0,15.0
34,1.0,15.0,1,1.0,20.537499999999998,1,-5.537499999999998
35,1.0,55.599999999999994,2,1.0,49.735416666666666,2,5.864583333333329
36,,0,0,1.0,22.631249999999998,1,-22.631249999999998
37,1.0,19.43125,1,1.0,20.081249999999997,1,-0.6499999999999986
39,1.0,27.325,1,1.0,25.7125,1,1.6125000000000007
40,1.0,44.19166666666666,2,1.0,24.775,1,19.416666666666664
41,1.0,20.008333333333333,1,1.0,28.34375,1,-8.335416666666667
43,1.0,27.383333333333333,1,1.0,45.43333333333334,2,-18.050000000000004
44,1.0,57.3375,2,1.0,21.6375,1,35.7
45,,43.66458333333333,2,,0,0,43.66458333333333
46,1.0,47.52708333333333,2,,0,0,47.52708333333333
47,1.0,26.622916666666665,1,1.0,24.008333333333333,1,2.614583333333332
