count,Obfuscation class,Number of rides,Incomplete Obf Rides,Incomplete Real Rides,Obfuscated location avg time to start ride,Obfuscated location avg num of trials,Real location avg time to start ride,Real location avg num of trials,avg rhs util,avg diff trials,StD RHS util,Avg Obf-Real ETA,Privacy level,ST Deviation real-obf distance,Avg Euclidean QL,Std Euclidean QL,Avg Exp Euclidean QL,Std Exp Euclidean QL,Avg Exp Tailored QL,Std Exp Tailored QL
0,1000.0,71,16,2,1445.949295774648,31.169014084507044,551.2098591549295,4.859154929577465,894.7394366197184,26.30985915492958,1223.6992848952736,569.5197183098593,1.4,267.72190617842233,3876.0611521690507,2304.981711570074,0.00010038498633433877,2.497890212064438e-05,2.188141764993609e-05,3.6744364324002586e-05
1,1000.0,65,10,2,1154.2569230769227,19.138461538461538,527.843076923077,5.492307692307692,626.4138461538457,13.646153846153846,920.1137551540401,576.8569230769231,1.4,242.0687263944371,4108.77472554829,2202.6268922084114,9.983367250002021e-05,2.285882734690213e-05,1.258563379480082e-05,2.0430819496120607e-05
2,1000.0,64,9,3,1220.265625,14.921875,600.290625,7.953125,619.975,6.96875,917.6970990610138,563.5296875,1.4,256.5383656003568,3964.4036599569667,2385.05075083479,9.892574519896553e-05,2.287418066106976e-05,1.453854165609102e-05,3.070224732071852e-05
4,1000.0,66,12,2,1329.5378787878785,23.318181818181817,656.4409090909093,5.9393939393939394,673.0969696969693,17.378787878787875,1063.2797855762424,585.8712121212122,1.4,267.0535633284258,4106.0574146829,2348.283479393742,0.00010107317987732113,2.369198803477981e-05,1.8029806643264418e-05,4.28839593158971e-05
