count,Obfuscation class,Number of rides,Incomplete Obf Rides,Incomplete Real Rides,Obfuscated location avg time to start ride,Obfuscated location avg num of trials,Real location avg time to start ride,Real location avg num of trials,avg rhs util,avg diff trials,StD RHS util,Avg Obf-Real ETA,Privacy level,ST Deviation real-obf distance,Avg Euclidean QL,Std Euclidean QL,Avg Exp Euclidean QL,Std Exp Euclidean QL,Avg Exp Tailored QL,Std Exp Tailored QL
0,1000.0,54,11,1,1200.7148148148149,23.40740740740741,493.9870370370369,3.314814814814815,706.727777777778,20.092592592592595,882.9898710498003,534.7074074074075,1.4,232.87554127238886,3750.5593655153375,2017.8664230125717,0.00010475361981282485,2.038502786881407e-05,2.3422697065677925e-05,4.610246888912162e-05
1,1000.0,44,5,1,1090.1568181818184,12.0,483.82727272727266,3.772727272727273,606.3295454545457,8.227272727272727,750.3871987119066,623.9613636363637,1.4,267.33904351787,4586.402748996107,2548.9790885117827,9.451593641453005e-05,2.7933735367285452e-05,1.0147604535925086e-05,1.2219761829030346e-05
2,1000.0,46,4,3,1093.9086956521742,3.847826086956522,645.5891304347825,8.673913043478262,448.31956521739164,-4.82608695652174,604.3528118069291,596.736956521739,1.4,301.9888893426204,4080.000494898733,2507.7835328576425,9.527195109104001e-05,2.8095676654809923e-05,8.442798647583447e-06,2.0501925772944825e-05
3,1000.0,52,6,0,896.9269230769235,14.807692307692308,449.4442307692308,1.0,447.4826923076927,13.807692307692308,767.8746313742472,511.1134615384615,1.4,244.38146177083178,3260.5420760081024,1791.5433246415328,0.0001105572724356408,1.8036424352093942e-05,1.1676499626479247e-05,2.0769423792406974e-05
4,1000.0,60,10,1,1371.7849999999996,19.816666666666666,521.3116666666668,3.15,850.4733333333328,16.666666666666668,1317.9896886125052,502.1883333333334,1.4,260.80564928164847,3491.2445747442184,2131.9659402755956,0.00010380707527072908,2.2013481698953485e-05,2.72128130520481e-05,4.900448133486465e-05
