count,Obfuscation class,Number of rides,Incomplete Obf Rides,Incomplete Real Rides,Obfuscated location avg time to start ride,Obfuscated location avg num of trials,Real location avg time to start ride,Real location avg num of trials,avg rhs util,avg diff trials,StD RHS util,Avg Obf-Real ETA,Privacy level,ST Deviation real-obf distance,Avg Euclidean QL,Std Euclidean QL,Avg Exp Euclidean QL,Std Exp Euclidean QL,Avg Exp Tailored QL,Std Exp Tailored QL
0,1000.0,46,8,1,1208.3630434782606,18.804347826086957,733.8521739130434,4.021739130434782,474.51086956521715,14.782608695652176,1217.164869549093,463.19782608695647,1.4,215.0116341535059,3321.7446408474366,2102.5487200455923,9.979923274744477e-05,2.270141415188494e-05,1.0824397568934234e-05,4.758558690342905e-05
1,1000.0,52,20,6,1826.023076923077,33.63461538461539,754.0673076923077,14.788461538461538,1071.9557692307694,18.846153846153847,1132.7944781708677,612.8846153846155,1.4,258.95801217766154,4541.862141761287,2542.7095327674,9.572912164504693e-05,2.539175218178858e-05,2.690374254343641e-05,4.3588163749629955e-05
2,1000.0,34,6,2,1235.129411764706,14.0,697.4617647058824,7.823529411764706,537.6676470588236,6.176470588235294,791.7664806214267,557.2617647058823,1.4,254.44373585241368,3899.035005191669,2217.8181432203687,0.00010033110675655955,2.5592505946331436e-05,1.1634003592163143e-05,2.1339568859083143e-05
3,1000.0,46,9,3,1394.5956521739133,16.91304347826087,672.3043478260868,8.456521739130435,722.2913043478266,8.456521739130435,866.388198669598,531.7847826086957,1.4,245.3551693285819,3583.678860503787,2132.73645273523,0.00010144965558833505,2.595056945746161e-05,2.154505861838279e-05,2.9770876931126288e-05
4,1000.0,48,8,1,1184.14375,18.520833333333332,516.2375,3.4375,667.90625,15.083333333333332,772.9943605352311,565.5770833333333,1.4,281.249974251542,3778.45812333621,2308.6403545596822,9.625565164051387e-05,2.123517582864245e-05,1.99417625258979e-05,3.4943927209661935e-05
