count,Obfuscation class,Number of rides,Incomplete Obf Rides,Incomplete Real Rides,Obfuscated location avg time to start ride,Obfuscated location avg num of trials,Real location avg time to start ride,Real location avg num of trials,avg rhs util,avg diff trials,StD RHS util,Avg Obf-Real ETA,Privacy level,ST Deviation real-obf distance,Avg Euclidean QL,Std Euclidean QL,Avg Exp Euclidean QL,Std Exp Euclidean QL,Avg Exp Tailored QL,Std Exp Tailored QL
0,1000.0,295,41,7,1300.0627118644068,20.633898305084745,519.8522033898306,4.928813559322034,780.2105084745762,15.705084745762711,1209.1846924543179,580.2366101694915,1.4,285.9750640107747,4110.193066246763,2526.115789817074,9.655903948016764e-05,2.698906178670201e-05,1.803713062997374e-05,4.2763159594931526e-05
1,1000.0,301,67,6,1597.926245847176,35.451827242524914,524.5215946843857,4.332225913621262,1073.4046511627903,31.119601328903652,1688.8619214171767,568.2029900332226,1.4,279.6680814318835,4041.9139665482658,2473.1658574004127,9.777628918130296e-05,2.6171727316145e-05,2.6846801557481705e-05,5.378402642248988e-05
2,1000.0,293,43,6,1208.8129692832763,21.72013651877133,508.8221843003412,4.3310580204778155,699.9907849829351,17.389078498293514,1151.6289442669654,599.2911262798634,1.4,290.6663153578591,4137.98594416845,2489.615541941369,9.759126665059668e-05,2.5765312117734153e-05,1.58868688564071e-05,3.7804617447310056e-05
