Driver ID,real_acc_rate,real_earnings,Real accepted rides,obf_acc_rate,obf_earnings,Obf accepted rides,Drivers RHS Util
0,1.0,51.16041666666666,2,,0,0,51.16041666666666
1,1.0,31.735416666666666,2,1.0,19.62083333333333,1,12.114583333333336
2,1.0,27.22083333333333,1,,0,0,27.22083333333333
4,,0,0,1.0,15.0,1,-15.0
5,1.0,20.266666666666666,1,1.0,49.66041666666666,2,-29.393749999999997
6,1.0,99.00416666666666,4,,0,0,99.00416666666666
7,1.0,25.083333333333332,1,1.0,20.114583333333332,1,4.96875
8,1.0,20.318749999999998,1,1.0,19.2125,1,1.1062499999999993
9,,0,0,1.0,27.304166666666667,1,-27.304166666666667
11,,0,0,1.0,34.474999999999994,1,-34.474999999999994
12,1.0,27.30625,1,1.0,32.14375,1,-4.837499999999999
13,1.0,137.04791666666668,5,1.0,19.9,1,117.14791666666667
14,1.0,45.60208333333333,2,1.0,17.320833333333333,1,28.28125
15,1.0,16.322916666666664,1,1.0,17.416666666666664,1,-1.09375
16,1.0,41.84583333333333,2,,0,0,41.84583333333333
18,1.0,16.045833333333334,1,,0,0,16.045833333333334
20,1.0,74.13333333333333,3,1.0,15.0,1,59.133333333333326
21,1.0,15.0,1,,0,0,15.0
22,,0,0,1.0,19.46458333333333,1,-19.46458333333333
24,1.0,15.0,1,1.0,43.45625,2,-28.456249999999997
25,,0,0,1.0,25.0875,1,-25.0875
26,1.0,27.633333333333333,1,1.0,25.395833333333332,1,2.2375000000000007
29,1.0,34.762499999999996,2,1.0,60.414583333333326,2,-25.65208333333333
30,1.0,23.12708333333333,1,1.0,20.666666666666664,1,2.460416666666667
31,,0,0,1.0,21.21875,1,-21.21875
33,1.0,28.381249999999998,1,,0,0,28.381249999999998
34,1.0,41.1125,2,1.0,21.647916666666667,1,19.46458333333333
36,1.0,55.06041666666667,2,1.0,81.7,3,-26.639583333333334
37,1.0,59.045833333333334,2,1.0,27.891666666666666,1,31.15416666666667
38,1.0,15.195833333333333,1,1.0,39.891666666666666,2,-24.695833333333333
39,1.0,48.81875,2,1.0,74.70833333333333,3,-25.889583333333327
40,1.0,117.93541666666665,5,1.0,29.49583333333333,1,88.43958333333333
42,,0,0,1.0,30.381249999999998,1,-30.381249999999998
43,,0,0,1.0,87.00416666666666,3,-87.00416666666666
44,,0,0,1.0,38.791666666666664,2,-38.791666666666664
45,1.0,63.568749999999994,3,1.0,40.662499999999994,2,22.90625
46,1.0,46.483333333333334,2,1.0,28.21458333333333,1,18.268750000000004
47,1.0,15.0,1,,0,0,15.0
